recipe_id,title,category,ingredients,steps,prep_time_minutes,difficulty,gluten_free,dairy_free,vegetarian,contains_fish,contains_vegetables,halal,kosher,contains_pork,image_url
1,Pâtes sans gluten au poulet,Plat principal,"pâtes sans gluten;blanc de poulet;crème liquide;sel;poivre","Cuire les pâtes;Saisir le poulet;Mélanger avec la crème",20,Facile,true,false,false,false,false,true,true,false,https://res.cloudinary.com/dycoeugum/image/upload/v1774612792/4f7b13b019d85460dc3e459d693483c7_ccmn8s.jpg
2,Riz poulet sauce champignons,Plat principal,"riz;poulet;champignons;crème","Cuire le riz;Cuire le poulet et les champignons;Ajouter la crème",25,Facile,true,false,false,false,true,true,true,false,
3,Wrap sans gluten au bœuf,Plat principal,"tortilla sans gluten;bœuf haché;salade;tomate","Cuire le bœuf;Garnir la tortilla",15,Facile,true,true,false,false,true,true,true,false,https://res.cloudinary.com/dycoeugum/image/upload/v1774614103/f9731859d26cfe8b60ef5719ae16004db6da4ac13a3f9b38d5a04c97a187289d_bduh2r.png
4,Pommes de terre rôties et steak,Plat principal,"pommes de terre;steak de bœuf;herbes de provence","Rôtir les PDT;Saisir le steak",40,Moyen,true,true,false,false,false,true,true,false,
5,Quiche sans fromage,Plat principal,"pâte brisée;œufs;lardons;crème","Préparer l'appareil;Cuire au four",45,Moyen,false,false,false,false,false,false,false,true,
6,Nouilles de riz au poulet,Plat principal,"nouilles de riz;poulet;sauce soja;carottes","Cuire les nouilles;Wok de poulet et carottes",20,Facile,true,true,false,false,true,true,true,false,https://res.cloudinary.com/dycoeugum/image/upload/v1774614343/35fdc9871110a70728b2ef435f5c941ab4127b95b36573a10d4b092489c32d2a_rtgttq.png
7,Gratin sans gluten sans fromage,Plat principal,"pommes de terre;lait de coco;muscade","Trancher les PDT;Cuire avec le lait de coco",50,Moyen,true,true,true,false,false,true,true,false,
8,Poké Bowl,Plat principal,"quinoa;avocat;pois chiches;radis","Assembler les ingrédients",15,Facile,true,true,true,false,true,true,true,false,https://res.cloudinary.com/dycoeugum/image/upload/v1774614403/311efa9b191c2284aae786b5e689f369d115409faa79a124628fcfe14564b7ee_no80ek.png
9,Burger maison sans fromage,Plat principal,"pain burger;steak haché;oignons;ketchup","Griller le pain;Cuire le steak;Assembler",20,Facile,false,true,false,false,false,true,true,false,
10,Omelette pommes de terre,Plat principal,"œufs;pommes de terre;sel","Cuire les PDT;Ajouter les œufs battus",15,Facile,true,true,true,false,false,true,true,false,https://res.cloudinary.com/dycoeugum/image/upload/v1774613142/01acc84d801e49ae1695923615cfb6a337156927c9229a60f9cc9df2e45567b7_svscfz.png
11,Saumon grillé et riz,Plat principal,"pavé de saumon;riz;citron","Cuire le riz;Griller le saumon",25,Facile,true,true,false,true,false,true,true,false,https://res.cloudinary.com/dycoeugum/image/upload/v1774613463/2b17e524063773b5e9b61ababac5bd2c0b45458bb37217515e22d7536d312dbe_hvzxvm.png
12,Salade composée aux oignons frits,Entrée,"laitue;tomates;oignons frits;vinaigrette","Mélanger les légumes;Saupoudrer d'oignons frits",10,Très Facile,false,true,true,false,true,true,true,false,
